,HepG2_xenograft_CTL_1,HepG2_xenograft_CTL_2,HepG2_xenograft_CTL_3,HepG2_xenograft_CTL_4,HepG2_xenograft_CTL_5,HepG2_xenograft_DKD_1,HepG2_xenograft_DKD_2,HepG2_xenograft_DKD_3,HepG2_xenograft_DKD_4,HepG2_xenograft_DKD_5
A1BG,546.9719664,409.8698248,185.4521932,490.530023,260.2344002,420.2452407,380.7567493,561.8994359,411.0036948,524.9361545
A1CF,2264.775384,2709.188941,2004.748569,2356.406883,2365.581725,3506.358987,2555.961554,3158.262347,3049.350304,3014.770942
A2M,41318.76844,26367.28004,23023.00915,30705.73062,26858.23116,51845.51593,37774.52223,49724.22491,39680.1784,46820.45224
A2ML1,18.49193481,24.28858221,13.46859504,8.27898773,9.184743538,8.962576224,13.42719015,17.43825836,13.86518488,26.00601132
A2MP1,21.41171399,17.2044124,16.57673236,17.59284893,22.45159532,3.983367211,7.672680086,9.687921309,5.942222093,5.779113628
A3GALT2,0,0,0,0,0,0.995841803,0,0,0,0
A4GALT,10.70585699,11.13226685,19.68486967,9.313861196,8.164216478,18.92099425,6.713595075,13.56308983,12.87481454,26.96919693
A4GNT,0,0,0,0,0,0,0,0,0,0
AAAS,2380.593292,2191.03252,2452.320343,2497.149674,2350.273819,2135.084825,2297.008601,2219.502772,2208.525878,2018.837027
AACS,2252.123008,2005.832081,1892.855626,1973.5037,1933.898778,2268.527626,1776.22544,1860.080891,1901.51107,2020.763398
AACSP1,12.65237645,9.108218329,5.180228861,10.34873466,6.123162359,7.966734421,7.672680086,9.687921309,4.951851744,8.668670441
AADAC,49.63624606,80.9619407,65.27088365,82.7898773,69.39584007,44.81288112,58.50418565,53.2835672,53.47999884,35.63786737
AADACL2,0,0,3.108137317,0,1.02052706,2.987525408,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0
AADACL4,0,0,0,0,0,0,0,0,0,0
AADACP1,14.5988959,20.24048518,11.39650349,14.48822853,15.3079059,32.86277949,21.09987024,35.84530884,24.75925872,24.07964012
AADAT,740.6506521,640.6113558,645.4565161,653.0051572,693.9584007,685.1391602,703.9683979,773.0961205,757.6333169,634.7393134
